"","Población","Tiempos","Tipo"
"1",20,1.16606688499451,"Secuencial"
"2",20,1.14506506919861,"Secuencial"
"3",20,1.10606408119202,"Secuencial"
"4",20,1.22506999969482,"Secuencial"
"5",20,1.08506202697754,"Secuencial"
"6",50,1.33907699584961,"Secuencial"
"7",50,1.43508195877075,"Secuencial"
"8",50,1.36307787895203,"Secuencial"
"9",50,1.38807892799377,"Secuencial"
"10",50,1.38407897949219,"Secuencial"
"11",100,1.88410782814026,"Secuencial"
"12",100,1.88010811805725,"Secuencial"
"13",100,1.8531060218811,"Secuencial"
"14",100,1.92611002922058,"Secuencial"
"15",100,1.7510998249054,"Secuencial"
"16",200,2.6951539516449,"Secuencial"
"17",200,2.72015595436096,"Secuencial"
"18",200,2.71715521812439,"Secuencial"
"19",200,2.74715685844421,"Secuencial"
"20",200,2.78416013717651,"Secuencial"
"21",350,4.03422999382019,"Secuencial"
"22",350,4.09823489189148,"Secuencial"
"23",350,4.09523391723633,"Secuencial"
"24",350,4.16823887825012,"Secuencial"
"25",350,4.13223600387573,"Secuencial"
"26",400,4.56326079368591,"Secuencial"
"27",400,4.63426518440247,"Secuencial"
"28",400,4.51625895500183,"Secuencial"
"29",400,4.61626410484314,"Secuencial"
"30",400,4.64826583862305,"Secuencial"
