,Población,Valor,Diferencia,Tipo
1,20,10741.23606,0.10708614,Normal
2,20,10650.69552,0.114612732,Normal
3,20,10588.21542,0.119806673,Normal
4,20,10624.1742,0.116817436,Normal
5,20,10859.64913,0.097242517,Normal
6,20,10491.78493,0.127822894,Normal
7,20,10658.96298,0.113925462,Normal
8,20,11105.17732,0.076831875,Normal
9,20,10962.8515,0.088663353,Normal
10,20,10650.75446,0.114607832,Normal
11,50,10269.5483,0.14629732,Normal
12,50,10977.50389,0.087445307,Normal
13,50,10601.06408,0.11873857,Normal
14,50,10850.83541,0.097975197,Normal
15,50,10692.71584,0.111119603,Normal
16,50,10911.76616,0.092910053,Normal
17,50,10986.4092,0.086705012,Normal
18,50,10504.15328,0.126794718,Normal
19,50,10842.09966,0.098701396,Normal
20,50,10313.04588,0.142681386,Normal
21,70,10500.68134,0.127083339,Normal
22,70,10837.26803,0.099103047,Normal
23,70,10577.91582,0.120662873,Normal
24,70,10762.97495,0.105278996,Normal
25,70,10748.77632,0.106459321,Normal
26,70,10855.80609,0.097561987,Normal
27,70,10188.27342,0.153053661,Normal
28,70,10333.61544,0.140971448,Normal
29,70,10506.42365,0.126605984,Normal
30,70,10668.26339,0.113152323,Normal
31,100,10680.38983,0.112144257,Normal
32,100,10290.23805,0.14457739,Normal
33,100,10845.9512,0.098381219,Normal
34,100,10477.45218,0.129014369,Normal
35,100,11089.4285,0.078141067,Normal
36,100,10738.21811,0.10733702,Normal
37,100,10818.14752,0.100692527,Normal
38,100,10930.66706,0.09133883,Normal
39,100,10727.70732,0.108210777,Normal
40,100,10603.3952,0.118544785,Normal
