"","Iteracion","Funciones","Dominadores","Porcentaje"
"1",1,2,0,1.5
"2",2,2,0,1
"3",3,2,0,0.5
"4",4,2,0,1.5
"5",5,2,0,1
"6",6,2,0,1
"7",7,2,0,1
"8",8,2,0,1.5
"9",9,2,0,1
"10",10,2,0,0.5
"11",11,2,0,1
"12",12,2,0,2
"13",13,2,0,2
"14",14,2,0,1
"15",15,2,0,2
"16",16,2,0,3
"17",17,2,0,1
"18",18,2,0,0.5
"19",19,2,0,1.5
"20",20,2,0,1
"21",21,2,0,1
"22",22,2,0,1.5
"23",23,2,0,2
"24",24,2,0,2.5
"25",25,2,0,2.5
"26",1,5,0,90
"27",2,5,0,92.5
"28",3,5,0,91
"29",4,5,0,90.5
"30",5,5,0,92
"31",6,5,0,91.5
"32",7,5,0,91.5
"33",8,5,0,86.5
"34",9,5,0,92
"35",10,5,0,87.5
"36",11,5,0,91
"37",12,5,0,90.5
"38",13,5,0,92
"39",14,5,0,92
"40",15,5,0,92
"41",16,5,0,92.5
"42",17,5,0,91.5
"43",18,5,0,88.5
"44",19,5,0,91.5
"45",20,5,0,90
"46",21,5,0,90
"47",22,5,0,85.5
"48",23,5,0,92
"49",24,5,0,86
"50",25,5,0,94.5
"51",1,7,0,99
"52",2,7,0,99.5
"53",3,7,0,99.5
"54",4,7,0,97.5
"55",5,7,0,100
"56",6,7,0,100
"57",7,7,0,99
"58",8,7,0,99.5
"59",9,7,0,99.5
"60",10,7,0,99.5
"61",11,7,0,99
"62",12,7,0,100
"63",13,7,0,99.5
"64",14,7,0,99.5
"65",15,7,0,98.5
"66",16,7,0,99.5
"67",17,7,0,99
"68",18,7,0,99
"69",19,7,0,99
"70",20,7,0,100
"71",21,7,0,99.5
"72",22,7,0,99
"73",23,7,0,98.5
"74",24,7,0,99
"75",25,7,0,100
"76",1,10,0,58.5
"77",2,10,0,58
"78",3,10,0,62.5
"79",4,10,0,56.5
"80",5,10,0,56.5
"81",6,10,0,61.5
"82",7,10,0,53.5
"83",8,10,0,57.5
"84",9,10,0,57
"85",10,10,0,54
"86",11,10,0,55
"87",12,10,0,58
"88",13,10,0,61.5
"89",14,10,0,63.5
"90",15,10,0,54
"91",16,10,0,52
"92",17,10,0,55.5
"93",18,10,0,55.5
"94",19,10,0,56.5
"95",20,10,0,57
"96",21,10,0,51
"97",22,10,0,58.5
"98",23,10,0,61
"99",24,10,0,55.5
"100",25,10,0,56
