"","Iteracion","Poblacion","Tiempo","Porcentaje","Tipo"
"1",1,50,0.0810041427612305,78,"Secuencial"
"2",2,50,0.0800049304962158,78,"Secuencial"
"3",3,50,0.0740039348602295,78,"Secuencial"
"4",4,50,0.0730040073394775,78,"Secuencial"
"5",5,50,0.0630040168762207,78,"Secuencial"
"6",6,50,0.0700039863586426,78,"Secuencial"
"7",7,50,0.0720038414001465,78,"Secuencial"
"8",8,50,0.0760049819946289,78,"Secuencial"
"9",9,50,0.0680029392242432,78,"Secuencial"
"10",10,50,0.0730049610137939,78,"Secuencial"
"11",11,50,0.0680041313171387,78,"Secuencial"
"12",12,50,0.0740039348602295,78,"Secuencial"
"13",13,50,0.0650041103363037,78,"Secuencial"
"14",14,50,0.0760040283203125,78,"Secuencial"
"15",15,50,0.0660040378570557,78,"Secuencial"
"16",16,50,0.0780041217803955,78,"Secuencial"
"17",17,50,0.0650038719177246,78,"Secuencial"
"18",18,50,0.0810050964355469,78,"Secuencial"
"19",19,50,0.0760040283203125,78,"Secuencial"
"20",20,50,0.0880050659179688,78,"Secuencial"
"21",21,50,0.0700039863586426,78,"Secuencial"
"22",22,50,0.0780050754547119,78,"Secuencial"
"23",23,50,0.0650029182434082,78,"Secuencial"
"24",24,50,0.094005823135376,78,"Secuencial"
"25",25,50,0.0660040378570557,78,"Secuencial"
"26",1,100,0.158009052276611,39,"Secuencial"
"27",2,100,0.150007963180542,39,"Secuencial"
"28",3,100,0.152009010314941,39,"Secuencial"
"29",4,100,0.150008916854858,39,"Secuencial"
"30",5,100,0.174009084701538,39,"Secuencial"
"31",6,100,0.166009902954102,39,"Secuencial"
"32",7,100,0.149008989334106,39,"Secuencial"
"33",8,100,0.184010028839111,39,"Secuencial"
"34",9,100,0.155009031295776,39,"Secuencial"
"35",10,100,0.166009187698364,39,"Secuencial"
"36",11,100,0.165009021759033,39,"Secuencial"
"37",12,100,0.151009082794189,39,"Secuencial"
"38",13,100,0.155009031295776,39,"Secuencial"
"39",14,100,0.153007984161377,39,"Secuencial"
"40",15,100,0.155008792877197,39,"Secuencial"
"41",16,100,0.160009145736694,39,"Secuencial"
"42",17,100,0.154008865356445,39,"Secuencial"
"43",18,100,0.150009155273438,39,"Secuencial"
"44",19,100,0.144007921218872,39,"Secuencial"
"45",20,100,0.146008014678955,39,"Secuencial"
"46",21,100,0.159010171890259,39,"Secuencial"
"47",22,100,0.150007963180542,39,"Secuencial"
"48",23,100,0.154009103775024,39,"Secuencial"
"49",24,100,0.164010047912598,39,"Secuencial"
"50",25,100,0.150007963180542,39,"Secuencial"
"51",1,200,0.393022775650024,19.5,"Secuencial"
"52",2,200,0.397022008895874,19.5,"Secuencial"
"53",3,200,0.396023035049438,19.5,"Secuencial"
"54",4,200,0.408022880554199,19.5,"Secuencial"
"55",5,200,0.402023077011108,19.5,"Secuencial"
"56",6,200,0.402023077011108,19.5,"Secuencial"
"57",7,200,0.406023979187012,19.5,"Secuencial"
"58",8,200,0.40902304649353,19.5,"Secuencial"
"59",9,200,0.415024042129517,19.5,"Secuencial"
"60",10,200,0.413023948669434,19.5,"Secuencial"
"61",11,200,0.414022922515869,19.5,"Secuencial"
"62",12,200,0.420024156570435,19.5,"Secuencial"
"63",13,200,0.421023845672607,19.5,"Secuencial"
"64",14,200,0.420024156570435,19.5,"Secuencial"
"65",15,200,0.416023015975952,19.5,"Secuencial"
"66",16,200,0.414024114608765,19.5,"Secuencial"
"67",17,200,0.413023948669434,19.5,"Secuencial"
"68",18,200,0.418024063110352,19.5,"Secuencial"
"69",19,200,0.420023918151855,19.5,"Secuencial"
"70",20,200,0.4150230884552,19.5,"Secuencial"
"71",21,200,0.399023056030273,19.5,"Secuencial"
"72",22,200,0.387022018432617,19.5,"Secuencial"
"73",23,200,0.413024187088013,19.5,"Secuencial"
"74",24,200,0.411023855209351,19.5,"Secuencial"
"75",25,200,0.413022994995117,19.5,"Secuencial"
"76",1,300,0.907052040100098,13,"Secuencial"
"77",2,300,0.741043090820312,13,"Secuencial"
"78",3,300,0.783045053482056,13,"Secuencial"
"79",4,300,0.814045906066895,13,"Secuencial"
"80",5,300,0.786044836044312,13,"Secuencial"
"81",6,300,0.806046009063721,13,"Secuencial"
"82",7,300,0.815047025680542,13,"Secuencial"
"83",8,300,0.767044067382812,13,"Secuencial"
"84",9,300,0.73704195022583,13,"Secuencial"
"85",10,300,0.807045936584473,13,"Secuencial"
"86",11,300,0.793045997619629,13,"Secuencial"
"87",12,300,0.760043144226074,13,"Secuencial"
"88",13,300,0.73104190826416,13,"Secuencial"
"89",14,300,0.733042001724243,13,"Secuencial"
"90",15,300,0.741041898727417,13,"Secuencial"
"91",16,300,0.727041959762573,13,"Secuencial"
"92",17,300,0.742042064666748,13,"Secuencial"
"93",18,300,0.744043111801147,13,"Secuencial"
"94",19,300,0.740041971206665,13,"Secuencial"
"95",20,300,0.890050888061523,13,"Secuencial"
"96",21,300,0.720041036605835,13,"Secuencial"
"97",22,300,0.721041917800903,13,"Secuencial"
"98",23,300,0.735042095184326,13,"Secuencial"
"99",24,300,0.72904109954834,13,"Secuencial"
"100",25,300,0.769043922424316,13,"Secuencial"
