"","Repeticion","Cantidad","Tiempo","Tipo"
"1",1,300,3.12717890739441,"Secuencial"
"2",2,300,3.05317401885986,"Secuencial"
"3",3,300,2.73515701293945,"Secuencial"
"4",4,300,2.84216213226318,"Secuencial"
"5",5,300,2.99017095565796,"Secuencial"
"6",6,300,3.06817603111267,"Secuencial"
"7",7,300,3.0301730632782,"Secuencial"
"8",8,300,2.74315690994263,"Secuencial"
"9",9,300,2.844162940979,"Secuencial"
"10",10,300,2.97317004203796,"Secuencial"
"11",11,300,3.07417607307434,"Secuencial"
"12",12,300,3.01017189025879,"Secuencial"
"13",13,300,2.73715615272522,"Secuencial"
"14",14,300,2.8591639995575,"Secuencial"
"15",15,300,2.96116900444031,"Secuencial"
"16",16,300,3.06117582321167,"Secuencial"
"17",17,300,2.99717116355896,"Secuencial"
"18",18,300,2.75515794754028,"Secuencial"
"19",19,300,2.85216307640076,"Secuencial"
"20",20,300,2.96216893196106,"Secuencial"
"21",1,500,3.20418310165405,"Secuencial"
"22",2,500,3.05917501449585,"Secuencial"
"23",3,500,2.8661630153656,"Secuencial"
"24",4,500,2.99217200279236,"Secuencial"
"25",5,500,3.07617592811584,"Secuencial"
"26",6,500,3.24918508529663,"Secuencial"
"27",7,500,2.96116995811462,"Secuencial"
"28",8,500,2.89616513252258,"Secuencial"
"29",9,500,3.02117300033569,"Secuencial"
"30",10,500,3.12817883491516,"Secuencial"
"31",11,500,3.33819103240967,"Secuencial"
"32",12,500,2.79216003417969,"Secuencial"
"33",13,500,2.91616702079773,"Secuencial"
"34",14,500,3.04017305374146,"Secuencial"
"35",15,500,3.1701819896698,"Secuencial"
"36",16,500,3.22418403625488,"Secuencial"
"37",17,500,2.82116198539734,"Secuencial"
"38",18,500,2.95416784286499,"Secuencial"
"39",19,500,3.06817507743835,"Secuencial"
"40",20,500,3.20018291473389,"Secuencial"
"41",1,700,3.25818610191345,"Secuencial"
"42",2,700,2.96416902542114,"Secuencial"
"43",3,700,3.11817789077759,"Secuencial"
"44",4,700,3.21918511390686,"Secuencial"
"45",5,700,3.53620195388794,"Secuencial"
"46",6,700,2.88816499710083,"Secuencial"
"47",7,700,3.02317309379578,"Secuencial"
"48",8,700,3.12217903137207,"Secuencial"
"49",9,700,3.29318785667419,"Secuencial"
"50",10,700,3.32119011878967,"Secuencial"
"51",11,700,2.93816804885864,"Secuencial"
"52",12,700,3.07217597961426,"Secuencial"
"53",13,700,3.2031831741333,"Secuencial"
"54",14,700,3.32518982887268,"Secuencial"
"55",15,700,3.11117815971375,"Secuencial"
"56",16,700,3.02917385101318,"Secuencial"
"57",17,700,3.14017915725708,"Secuencial"
"58",18,700,3.24718594551086,"Secuencial"
"59",19,700,3.44819712638855,"Secuencial"
"60",20,700,2.90516591072083,"Secuencial"
"61",1,1000,3.2071840763092,"Secuencial"
"62",2,1000,3.38719296455383,"Secuencial"
"63",3,1000,3.52320194244385,"Secuencial"
"64",4,1000,3.29518795013428,"Secuencial"
"65",5,1000,3.17518091201782,"Secuencial"
"66",6,1000,3.27718806266785,"Secuencial"
"67",7,1000,3.42919588088989,"Secuencial"
"68",8,1000,3.48119902610779,"Secuencial"
"69",9,1000,3.10417699813843,"Secuencial"
"70",10,1000,3.26018714904785,"Secuencial"
"71",11,1000,3.38919401168823,"Secuencial"
"72",12,1000,3.67320990562439,"Secuencial"
"73",13,1000,3.04017400741577,"Secuencial"
"74",14,1000,3.19718289375305,"Secuencial"
"75",15,1000,3.33319020271301,"Secuencial"
"76",16,1000,3.49920082092285,"Secuencial"
"77",17,1000,3.367192029953,"Secuencial"
"78",18,1000,3.16118097305298,"Secuencial"
"79",19,1000,3.26818680763245,"Secuencial"
"80",20,1000,3.42619585990906,"Secuencial"
